sample_id	condition	r1
SRR7426784	NF	SRR7426784.fastq.gz
SRR7426785	NF	SRR7426785.fastq.gz
SRR7426786	NF	SRR7426786.fastq.gz
SRR7426787	NF	SRR7426787.fastq.gz
SRR7426788	NF	SRR7426788.fastq.gz
SRR7426789	NF	SRR7426789.fastq.gz
SRR7426790	NF	SRR7426790.fastq.gz
SRR7426791	NF	SRR7426791.fastq.gz
SRR7426792	NF	SRR7426792.fastq.gz
SRR7426793	NF	SRR7426793.fastq.gz
SRR7426794	NF	SRR7426794.fastq.gz
SRR7426795	NF	SRR7426795.fastq.gz
SRR7426796	NF	SRR7426796.fastq.gz
SRR7426797	NF	SRR7426797.fastq.gz
SRR7426798	ICM_DCM	SRR7426798.fastq.gz
SRR7426799	ICM_DCM	SRR7426799.fastq.gz
SRR7426800	ICM_DCM	SRR7426800.fastq.gz
SRR7426801	ICM_DCM	SRR7426801.fastq.gz
SRR7426802	ICM_DCM	SRR7426802.fastq.gz
SRR7426803	ICM_DCM	SRR7426803.fastq.gz
SRR7426804	ICM_DCM	SRR7426804.fastq.gz
SRR7426805	ICM_DCM	SRR7426805.fastq.gz
SRR7426806	ICM_DCM	SRR7426806.fastq.gz
SRR7426807	ICM_DCM	SRR7426807.fastq.gz
SRR7426808	ICM_DCM	SRR7426808.fastq.gz
SRR7426809	ICM_DCM	SRR7426809.fastq.gz
SRR7426810	ICM_DCM	SRR7426810.fastq.gz
SRR7426811	ICM_DCM	SRR7426811.fastq.gz
SRR7426812	ICM_DCM	SRR7426812.fastq.gz
SRR7426813	ICM_DCM	SRR7426813.fastq.gz
SRR7426814	ICM_DCM	SRR7426814.fastq.gz
SRR7426815	ICM_DCM	SRR7426815.fastq.gz
SRR7426816	ICM_DCM	SRR7426816.fastq.gz
SRR7426817	ICM_DCM	SRR7426817.fastq.gz
SRR7426818	ICM_DCM	SRR7426818.fastq.gz
SRR7426819	ICM_DCM	SRR7426819.fastq.gz
SRR7426820	ICM_DCM	SRR7426820.fastq.gz
SRR7426821	ICM_DCM	SRR7426821.fastq.gz
SRR7426822	ICM_DCM	SRR7426822.fastq.gz
SRR7426824	ICM_DCM	SRR7426824.fastq.gz
SRR7426825	ICM_DCM	SRR7426825.fastq.gz
SRR7426826	ICM_DCM	SRR7426826.fastq.gz
SRR7426827	ICM_DCM	SRR7426827.fastq.gz
SRR7426828	ICM_DCM	SRR7426828.fastq.gz
SRR7426829	ICM_DCM	SRR7426829.fastq.gz
SRR7426830	ICM_DCM	SRR7426830.fastq.gz
SRR7426831	ICM_DCM	SRR7426831.fastq.gz
SRR7426832	ICM_DCM	SRR7426832.fastq.gz
SRR7426833	ICM_DCM	SRR7426833.fastq.gz
SRR7426834	ICM_DCM	SRR7426834.fastq.gz
SRR7426835	ICM_DCM	SRR7426835.fastq.gz
SRR7426836	ICM_DCM	SRR7426836.fastq.gz
SRR7426837	ICM_DCM	SRR7426837.fastq.gz
SRR7426838	ICM_DCM	SRR7426838.fastq.gz
SRR7426839	ICM_DCM	SRR7426839.fastq.gz
SRR7426840	ICM_DCM	SRR7426840.fastq.gz
SRR7426841	ICM_DCM	SRR7426841.fastq.gz
SRR7426842	ICM_DCM	SRR7426842.fastq.gz
SRR7426843	ICM_DCM	SRR7426843.fastq.gz
SRR7426844	ICM_DCM	SRR7426844.fastq.gz
SRR7426845	ICM_DCM	SRR7426845.fastq.gz
SRR7426846	ICM_DCM	SRR7426846.fastq.gz
SRR7426847	ICM_DCM	SRR7426847.fastq.gz
