sample,total_reads,unaligned,unaligned_pct,unique,unique_pct,multi,multi_pct,overall_pct
SRR7426784,49084404,624865,1.27,40752470,83.03,7707069,15.7,98.73
SRR7426785,49315269,564773,1.15,41838199,84.84,6912297,14.02,98.85
SRR7426786,64971191,704404,1.08,54392829,83.72,9873958,15.2,98.92
SRR7426787,63959139,605970,0.95,51947605,81.22,11405564,17.83,99.05
SRR7426788,59399211,635334,1.07,48973743,82.45,9790134,16.48,98.93
SRR7426789,46601735,525861,1.13,37640793,80.77,8435081,18.1,98.87
SRR7426790,55417454,604827,1.09,44817177,80.87,9995450,18.04,98.91
SRR7426791,42249853,534730,1.27,34890114,82.58,6825009,16.15,98.73
SRR7426792,44763586,566006,1.26,36817641,82.25,7379939,16.49,98.74
SRR7426793,53254936,701400,1.32,44035267,82.69,8518269,16.0,98.68
SRR7426794,50453326,684639,1.36,42955601,85.14,6813086,13.5,98.64
SRR7426795,55109784,727468,1.32,44765888,81.23,9616428,17.45,98.68
SRR7426796,43698510,519637,1.19,36174645,82.78,7004228,16.03,98.81
SRR7426797,57265790,762285,1.33,47310412,82.62,9193093,16.05,98.67
SRR7426798,43733708,1241429,2.84,35706692,81.65,6785587,15.52,97.16
SRR7426799,45832484,971663,2.12,38113493,83.16,6747328,14.72,97.88
SRR7426800,48553774,1157465,2.38,39536380,81.43,7859929,16.19,97.62
SRR7426801,51611753,1218660,2.36,42191431,81.75,8201662,15.89,97.64
SRR7426802,45259475,1213243,2.68,36777621,81.26,7268611,16.06,97.32
SRR7426803,42687265,1439155,3.37,34592581,81.04,6655529,15.59,96.63
SRR7426804,40286688,1150292,2.86,33485635,83.12,5650761,14.03,97.14
SRR7426805,41580898,1378236,3.31,33553241,80.69,6649421,15.99,96.69
SRR7426806,58131893,1538562,2.65,48132537,82.8,8460794,14.55,97.35
SRR7426807,45570147,528744,1.16,37732999,82.8,7308404,16.04,98.84
SRR7426808,48856011,1186361,2.43,40877440,83.67,6792210,13.9,97.57
SRR7426809,38804329,436394,1.12,32121892,82.78,6246043,16.1,98.88
SRR7426810,39926865,1265612,3.17,33620153,84.2,5041100,12.63,96.83
SRR7426811,43027159,1175117,2.73,35500913,82.51,6351129,14.76,97.27
SRR7426812,44000192,1397796,3.18,35612198,80.94,6990198,15.89,96.82
SRR7426813,49534470,1353197,2.73,41851948,84.49,6329325,12.78,97.27
SRR7426814,48132160,1150489,2.39,40255923,83.64,6725748,13.97,97.61
SRR7426815,53868964,1267668,2.35,45678986,84.8,6922310,12.85,97.65
SRR7426816,55978456,1320167,2.36,46437507,82.96,8220782,14.69,97.64
SRR7426817,43780909,1699444,3.88,35564863,81.23,6516602,14.88,96.12
SRR7426818,51523029,1238855,2.4,41101895,79.77,9182279,17.82,97.6
SRR7426819,45249862,1080235,2.39,37676009,83.26,6493618,14.35,97.61
SRR7426820,46966422,1408565,3.0,38858310,82.74,6699547,14.26,97.0
SRR7426821,46525811,1192479,2.56,39033925,83.9,6299407,13.54,97.44
SRR7426822,49220179,1126297,2.29,40890950,83.08,7202932,14.63,97.71
SRR7426824,54319955,1436610,2.64,44238277,81.44,8645068,15.92,97.36
SRR7426825,45629967,1415638,3.1,38206801,83.73,6007528,13.17,96.9
SRR7426826,48722739,1459925,3.0,40368054,82.85,6894760,14.15,97.0
SRR7426827,45164890,1198288,2.65,37883506,83.88,6083096,13.47,97.35
SRR7426828,48136735,611186,1.27,40437522,84.01,7088027,14.72,98.73
SRR7426829,49062603,689386,1.41,40342229,82.23,8030988,16.37,98.59
SRR7426830,47905402,632579,1.32,39532626,82.52,7740197,16.16,98.68
SRR7426831,43156794,570278,1.32,36073479,83.59,6513037,15.09,98.68
SRR7426832,50770683,641201,1.26,42307724,83.33,7821758,15.41,98.74
SRR7426833,42443684,473248,1.12,35251010,83.05,6719426,15.83,98.88
SRR7426834,43424191,519785,1.2,37090888,85.42,5813518,13.39,98.8
SRR7426835,52723717,1384046,2.63,43237323,82.01,8102348,15.37,97.37
SRR7426836,56838114,1429302,2.51,46610994,82.01,8797818,15.48,97.49
SRR7426837,42797091,1259356,2.94,36424373,85.11,5113362,11.95,97.06
SRR7426838,48330465,1234361,2.55,40971675,84.77,6124429,12.67,97.45
SRR7426839,51978638,1406121,2.71,43476326,83.64,7096191,13.65,97.29
SRR7426840,40011727,1177311,2.94,33345892,83.34,5488524,13.72,97.06
SRR7426841,42727095,1210935,2.83,35145659,82.26,6370501,14.91,97.17
SRR7426842,35755364,1614560,4.52,29495303,82.49,4645501,12.99,95.48
SRR7426843,41321268,1142763,2.77,34421716,83.3,5756789,13.93,97.23
SRR7426844,45316491,1218611,2.69,37423028,82.58,6674852,14.73,97.31
SRR7426845,40772067,1408566,3.45,34295642,84.12,5067859,12.43,96.55
SRR7426846,42587438,1583603,3.72,34853605,81.84,6150230,14.44,96.28
SRR7426847,50912884,1297254,2.55,41691481,81.89,7924149,15.56,97.45
